"sampleid" "diet" "day_post_inf" "mouse_id" "study" "diet_true" "high_fat" "high_fiber" "purified_diet" "seq_depth"
"1" "1_0403_9685" "Chow" -15 9685 1 "Chow" 0 1 0 38187
"2" "1_0410_9685" "Chow" -8 9685 1 "Chow" 0 1 0 40496
"3" "1_0421_9685" "Chow" 3 9685 1 "Chow" 0 1 0 44864
"4" "1_0403_9688" "Chow" -15 9688 1 "Chow" 0 1 0 38151
"5" "1_0410_9688" "Chow" -8 9688 1 "Chow" 0 1 0 39652
"6" "1_0415_9739" "Chow" -3 9688 1 "Chow" 0 1 0 50377
"7" "1_0418_9739" "Chow" 0 9688 1 "Chow" 0 1 0 44055
"8" "1_0421_9688" "Chow" 3 9688 1 "Chow" 0 1 0 49159
"9" "1_0403_9690" "Chow" -15 9690 1 "Chow" 0 1 0 42394
"10" "1_0410_9690" "Chow" -8 9690 1 "Chow" 0 1 0 35763
"11" "1_0415_9690" "Chow" -3 9690 1 "Chow" 0 1 0 32337
"12" "1_0418_9690" "Chow" 0 9690 1 "Chow" 0 1 0 54974
"13" "1_0421_9690" "Chow" 3 9690 1 "Chow" 0 1 0 38390
"14" "1_0403_9695" "Chow" -15 9695 1 "Chow" 0 1 0 37477
"15" "1_0410_9695" "Chow" -8 9695 1 "Chow" 0 1 0 33120
"16" "1_0415_9738" "Chow" -3 9695 1 "Chow" 0 1 0 45272
"17" "1_0415_9695" "Chow" -3 9695 1 "Chow" 0 1 0 37438
"18" "1_0418_9695" "Chow" 0 9695 1 "Chow" 0 1 0 48318
"19" "1_0418_9738" "Chow" 0 9695 1 "Chow" 0 1 0 61729
"20" "1_0421_9695" "Chow" 3 9695 1 "Chow" 0 1 0 43885
"21" "1_0403_9696" "Chow" -15 9696 1 "Chow" 0 1 0 40642
"22" "1_0410_9696" "Chow" -8 9696 1 "Chow" 0 1 0 31529
"23" "1_0415_9696" "Chow" -3 9696 1 "Chow" 0 1 0 37943
"24" "1_0418_9696" "Chow" 0 9696 1 "Chow" 0 1 0 46990
"25" "1_0421_9696" "Chow" 3 9696 1 "Chow" 0 1 0 39593
"26" "2_0418_9740" "Chow" -15 9740 2 "Chow" 0 1 0 39052
"27" "2_0425_9740" "Chow" -8 9740 2 "Chow" 0 1 0 39932
"28" "2_0430_9740" "Chow" -3 9740 2 "Chow" 0 1 0 51208
"29" "2_0503_9740" "Chow" 0 9740 2 "Chow" 0 1 0 40565
"30" "2B_0506_9740" "Chow" 3 9740 2 "Chow" 0 1 0 39112
"31" "2_0506_9740" "Chow" 3 9740 2 "Chow" 0 1 0 42001
"32" "2_0418_9741" "Chow" -15 9741 2 "Chow" 0 1 0 38891
"33" "2_0425_9741" "Chow" -8 9741 2 "Chow" 0 1 0 52548
"34" "2_0430_9741" "Chow" -3 9741 2 "Chow" 0 1 0 61435
"35" "2_0503_9741" "Chow" 0 9741 2 "Chow" 0 1 0 40261
"36" "2_0506_9741" "Chow" 3 9741 2 "Chow" 0 1 0 47889
"37" "2_0418_9742" "Chow" -15 9742 2 "Chow" 0 1 0 42301
"38" "2_0425_9742" "Chow" -8 9742 2 "Chow" 0 1 0 37408
"39" "2_0430_9742" "Chow" -3 9742 2 "Chow" 0 1 0 36182
"40" "2_0503_9742" "Chow" 0 9742 2 "Chow" 0 1 0 42655
"41" "2_0506_9742" "Chow" 3 9742 2 "Chow" 0 1 0 51972
"42" "2_0418_9743" "Chow" -15 9743 2 "Chow" 0 1 0 38789
"43" "2_0425_9743" "Chow" -8 9743 2 "Chow" 0 1 0 54744
"44" "2_0430_9743" "Chow" -3 9743 2 "Chow" 0 1 0 45658
"45" "2_0503_9743" "Chow" 0 9743 2 "Chow" 0 1 0 49505
"46" "2_0506_9743" "Chow" 3 9743 2 "Chow" 0 1 0 39619
"47" "2_0418_9744" "Chow" -15 9744 2 "Chow" 0 1 0 32586
"48" "2_0425_9744" "Chow" -8 9744 2 "Chow" 0 1 0 41592
"49" "2_0430_9744" "Chow" -3 9744 2 "Chow" 0 1 0 39770
"50" "2_0503_9744" "Chow" 0 9744 2 "Chow" 0 1 0 44753
"51" "3_0516_9841" "LF/LF" -15 9841 3 "Chow" 0 1 0 22206
"52" "3_0523_9841" "LF/LF" -8 9841 3 "LF/LF" 0 0 1 36571
"53" "3_0516_9843" "LF/LF" -15 9843 3 "Chow" 0 1 0 36050
"54" "3_0523_9843" "LF/LF" -8 9843 3 "LF/LF" 0 0 1 48769
"55" "3_0516_9844" "LF/LF" -15 9844 3 "Chow" 0 1 0 27826
"56" "3_0523_9844" "LF/LF" -8 9844 3 "LF/LF" 0 0 1 44796
"57" "3_0516_9845" "LF/LF" -15 9845 3 "Chow" 0 1 0 39455
"58" "3_0523_9845" "LF/LF" -8 9845 3 "LF/LF" 0 0 1 41824
"59" "3_0516_9842" "LF/LF" -15 9842 3 "Chow" 0 1 0 33762
"60" "3_0523_9842" "LF/LF" -8 9842 3 "LF/LF" 0 0 1 33701
"61" "1_0403_9686" "LF/HF" -15 9686 1 "Chow" 0 1 0 41857
"62" "1_0410_9686" "LF/HF" -8 9686 1 "LF/HF" 0 1 1 51810
"63" "1_0415_9737" "LF/HF" -3 9686 1 "LF/HF" 0 1 1 44511
"64" "1_0418_9737" "LF/HF" 0 9686 1 "LF/HF" 0 1 1 33806
"65" "1_0421_9686" "LF/HF" 3 9686 1 "LF/HF" 0 1 1 43428
"66" "1_0403_9689" "LF/HF" -15 9689 1 "Chow" 0 1 0 48879
"67" "1_0410_9689" "LF/HF" -8 9689 1 "LF/HF" 0 1 1 44951
"68" "1_0415_9689" "LF/HF" -3 9689 1 "LF/HF" 0 1 1 49762
"69" "1_0418_9689" "LF/HF" 0 9689 1 "LF/HF" 0 1 1 43534
"70" "1_0421_9689" "LF/HF" 3 9689 1 "LF/HF" 0 1 1 42934
"71" "1_0403_9692" "LF/HF" -15 9692 1 "Chow" 0 1 0 37405
"72" "1_0410_9692" "LF/HF" -8 9692 1 "LF/HF" 0 1 1 40140
"73" "1_0415_9735" "LF/HF" -3 9692 1 "LF/HF" 0 1 1 19389
"74" "1_0418_9692" "LF/HF" 0 9692 1 "LF/HF" 0 1 1 40719
"75" "1_0421_9692" "LF/HF" 3 9692 1 "LF/HF" 0 1 1 45129
"76" "1_0403_9697" "LF/HF" -15 9697 1 "Chow" 0 1 0 34171
"77" "1_0410_9697" "LF/HF" -8 9697 1 "LF/HF" 0 1 1 47817
"78" "1_0415_9736" "LF/HF" -3 9697 1 "LF/HF" 0 1 1 9163
"79" "1_0418_9736" "LF/HF" 0 9697 1 "LF/HF" 0 1 1 34515
"80" "1_0421_9697" "LF/HF" 3 9697 1 "LF/HF" 0 1 1 51112
"81" "1_0403_9698" "LF/HF" -15 9698 1 "Chow" 0 1 0 36911
"82" "1_0410_9698" "LF/HF" -8 9698 1 "LF/HF" 0 1 1 55168
"83" "1_0415_9698" "LF/HF" -3 9698 1 "LF/HF" 0 1 1 6535
"84" "1_0418_9698" "LF/HF" 0 9698 1 "LF/HF" 0 1 1 29132
"85" "1_0421_9698" "LF/HF" 3 9698 1 "LF/HF" 0 1 1 30107
"86" "2_0418_9745" "LF/HF" -15 9745 2 "Chow" 0 1 0 37497
"87" "2_0425_9745" "LF/HF" -8 9745 2 "LF/HF" 0 1 1 44127
"88" "2_0430_9745" "LF/HF" -3 9745 2 "LF/HF" 0 1 1 51609
"89" "2_0503_9745" "LF/HF" 0 9745 2 "LF/HF" 0 1 1 50025
"90" "2_0418_9746" "LF/HF" -15 9746 2 "Chow" 0 1 0 42063
"91" "2_0425_9746" "LF/HF" -8 9746 2 "LF/HF" 0 1 1 52431
"92" "2_0430_9746" "LF/HF" -3 9746 2 "LF/HF" 0 1 1 49428
"93" "2_0503_9746" "LF/HF" 0 9746 2 "LF/HF" 0 1 1 62072
"94" "2_0506_9746" "LF/HF" 3 9746 2 "LF/HF" 0 1 1 56965
"95" "2_0418_9747" "LF/HF" -15 9747 2 "Chow" 0 1 0 45562
"96" "2_0425_9747" "LF/HF" -8 9747 2 "LF/HF" 0 1 1 47570
"97" "2_0430_9747" "LF/HF" -3 9747 2 "LF/HF" 0 1 1 40890
"98" "2_0503_9747" "LF/HF" 0 9747 2 "LF/HF" 0 1 1 39503
"99" "2_0418_9748" "LF/HF" -15 9748 2 "Chow" 0 1 0 37814
"100" "2_0425_9748" "LF/HF" -8 9748 2 "LF/HF" 0 1 1 39919
"101" "2_0430_9748" "LF/HF" -3 9748 2 "LF/HF" 0 1 1 167423
"102" "2_0503_9748" "LF/HF" 0 9748 2 "LF/HF" 0 1 1 38570
"103" "2_0418_9749" "LF/HF" -15 9749 2 "Chow" 0 1 0 41273
"104" "2_0425_9749" "LF/HF" -8 9749 2 "LF/HF" 0 1 1 46151
"105" "2_0430_9749" "LF/HF" -3 9749 2 "LF/HF" 0 1 1 34338
